Mean,Std,Skewness,Kurtosis,Energy,Entropy,Label
8.571299803753615,0.9880610311094559,0.1594261291563387,1.215907836707288,19514902.426949732,12.467363893929708,1
8.400004614161025,1.0301952597904789,0.3282972671249043,1.2911488164514493,18775114.983989917,12.466532607256513,1
7.597909519350195,1.057859339280436,0.21937129441779607,0.9458167612340618,15426465.417379223,,1
8.069598322604419,1.0276168957107037,0.34775829727437985,1.2765992678668434,17347225.471557345,12.465949638805604,1
7.391993659601885,1.0372076382829254,0.14918768373573696,0.8832192926642741,14605974.227781396,12.464127188040806,1
8.455793604491351,0.9851865563354032,0.05924003319283509,0.8084956608540517,18997847.794002376,12.467198670764938,1
7.363470430570932,1.1049027237065754,0.23305678848812372,0.8365962678287526,14533658.36139638,12.462741825030731,1
7.6240048624814,1.1873668592750248,0.4541503423926894,1.0372245776179918,15606819.114619939,12.46199789058629,1
8.118195513151704,1.0294863937459946,0.36036263723075923,1.3222570337144406,17554457.39511208,12.46602265559338,1
8.352744256693343,0.9811339566325377,0.1445114253284591,1.143932443482516,18541696.898454275,12.467105009115217,1
8.473937187900543,0.971623102850549,0.04972662019532424,0.921428478912647,19071411.924101144,12.467411729678318,1
8.338055178593494,0.9538101805091229,0.14488550765490207,1.604039061038856,18463566.861883827,12.467458007605137,1
8.136306358953805,1.0987760961944828,0.36208340026011726,1.0445583639544544,17670285.577766966,12.464952836853719,1
8.367845637423475,1.0039310976374882,0.30786601012518156,1.5920838297069517,18619752.319693804,12.466845154336072,1
8.150932312930857,0.9536499831340078,0.25891869449572935,1.4391576097793006,17654650.204405606,12.467187270119414,1
8.19828215696439,1.0849512845478542,0.33787705368059484,1.0552777616192142,17927752.807885762,12.465304123444394,1
8.397086060684831,1.0081104982457638,0.10118028773233873,0.6897208215870152,18750463.30196842,12.466788312275586,1
8.574486873948407,0.9552192468290135,0.0837527100698146,1.2525431239299083,19512497.002519235,12.467789487644772,1
8.15900509400312,1.0609341895339521,0.24255129957028007,0.9896374336426632,17745823.787513524,12.46557162112636,1
7.93854681414543,1.0673031638153556,0.38378257703319224,1.1008559622842045,16819070.320998825,12.46504116931921,1
7.690921575674744,1.07100496583433,0.37677847376228407,1.4360466393533127,15806582.31083561,12.46437096217491,1
8.335880197919371,0.9899494430991518,0.10219505532989782,1.0788160204925719,18472474.659771286,12.466938907665316,1
