iter	Logloss
0	0.6853752105
1	0.6780750328
2	0.6709102534
3	0.6632126413
4	0.6560979864
5	0.6499070802
6	0.6435804238
7	0.6366394279
8	0.6310528869
9	0.6254617725
10	0.6197783661
11	0.613962593
12	0.6082298429
13	0.6031338125
14	0.5978377222
15	0.5926112274
16	0.5877764165
17	0.5831539639
18	0.5785048832
19	0.57404747
20	0.5700119845
21	0.5663795125
22	0.5628988259
23	0.5596172864
24	0.5559100892
25	0.5519306557
26	0.5483885239
27	0.5447703339
28	0.5411069805
29	0.5379203452
30	0.535096403
31	0.5319952124
32	0.5287725623
33	0.5257715942
34	0.5223833666
35	0.5201339385
36	0.5177193801
37	0.5148926292
38	0.5123666112
39	0.5100573442
40	0.5077729884
41	0.504938398
42	0.5025449286
43	0.5001979537
44	0.498231509
45	0.4962445423
46	0.4944735758
47	0.4922681012
48	0.4903761046
49	0.4888933341
50	0.4868750978
51	0.4850602808
52	0.4833522784
53	0.4818398988
54	0.4800517839
55	0.4786000615
56	0.4769214673
57	0.4753571932
58	0.4738783191
59	0.4721966289
60	0.4709038792
61	0.4695734378
62	0.4678996422
63	0.4663196855
64	0.4652234681
65	0.4638930297
66	0.4627037969
67	0.4614845013
68	0.4602144951
69	0.4589881818
70	0.4579781875
71	0.4566506132
72	0.4552948836
73	0.4543146448
74	0.4532915492
75	0.4523520242
76	0.4517411425
77	0.4507306457
78	0.4496392191
79	0.4485826553
80	0.4476565925
81	0.4467362321
82	0.4456530998
83	0.4448717819
84	0.4441277175
85	0.4434306199
86	0.4425681675
87	0.4417806964
88	0.4408532658
89	0.440011621
90	0.4391943783
91	0.4384339906
92	0.4376445432
93	0.4369794769
94	0.4362266723
95	0.4355604268
96	0.434854244
97	0.4339501605
98	0.4332724356
99	0.4327471134
100	0.4322590868
101	0.4314127134
102	0.4306742535
103	0.4300283543
104	0.4294465681
105	0.4287765175
106	0.4280754994
107	0.4275655824
108	0.4271689495
109	0.4265348238
110	0.4259526194
111	0.4253166144
112	0.4248584774
113	0.4243072417
114	0.4239051708
115	0.4232720688
116	0.4226791789
117	0.4220503089
118	0.4214665264
119	0.4209028354
120	0.4203809445
121	0.4200059246
122	0.4196118452
123	0.4190249631
124	0.4184442989
125	0.4178983007
126	0.4175266778
127	0.4171291791
128	0.416634846
129	0.416256895
130	0.4157148161
131	0.4152865347
132	0.4149113517
133	0.4145105215
134	0.4141902312
135	0.4137854212
136	0.4133798009
137	0.4129417105
138	0.4126369272
139	0.4123169412
140	0.4119570351
141	0.4116093008
142	0.4113020734
143	0.4109279524
144	0.4105132981
145	0.4101258389
146	0.4097640615
147	0.4093477519
148	0.409006645
149	0.4086238101
150	0.4082332407
151	0.4078077746
152	0.4074227056
153	0.4070599751
154	0.4066255844
155	0.4062783935
156	0.4059634745
157	0.4056922112
158	0.4052561055
159	0.4048839729
160	0.4046683822
161	0.4043912975
162	0.4040364212
163	0.4037266584
164	0.4034465824
165	0.4031058573
166	0.402951441
167	0.4026549464
168	0.4022589835
169	0.4019264579
170	0.4016001698
171	0.4013664197
172	0.4011284023
173	0.4007497269
174	0.4005714339
